Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Singh, P.K., Sharma, S., Nandi, S.K., Nandi, S.","57200581293;57192962924;57192556412;9738354800;","Multipath TCP for V2I communication in SDN controlled small cell deployment of smart city",2019,"Vehicular Communications","15",,,"1","15",,6,"10.1016/j.vehcom.2018.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056819112&doi=10.1016%2fj.vehcom.2018.11.002&partnerID=40&md5=b1a7a894f8452c3dead05cb07ba7fa5f",Article,"Final",,Scopus,2-s2.0-85056819112
"Huang, Z., Gao, J., Liu, R.","55900661300;57208127169;57208132586;","Discussion on the key success factors of developing smart eco-city based on analytic hierarchy process",2019,"Ekoloji","28","107", e107191,"1651","1657",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063896187&partnerID=40&md5=83723d5885c3e73cd3877623dd3e5b9b",Article,"Final",,Scopus,2-s2.0-85063896187
"Zou, D., Niu, S., Chen, S., Su, B., Cheng, X., Liu, J., Liu, Y., Li, Y.","55277297800;57211226412;57211229777;57211230146;57211229214;57196372304;57211232651;57211234570;","A smart city used low-latency seamless positioning system based on inverse global navigation satellite system technology",2019,"International Journal of Distributed Sensor Networks","15","9",,"","",,,"10.1177/1550147719873815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073059585&doi=10.1177%2f1550147719873815&partnerID=40&md5=910cac362e0adeed4b0222aad9fe3107",Article,"Final",Open Access,Scopus,2-s2.0-85073059585
"Nagy, Z., Sebestyén Szép, T., Szendi, D.","57189694560;57196328733;57200039073;","Regional disparities in Hungarian Urban energy consumption – A link between smart cities and successful cities",2019,"Geographia Technica","14","1",,"92","102",,,"10.21163/GT_2019.141.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066779768&doi=10.21163%2fGT_2019.141.07&partnerID=40&md5=f813d56654688820a568e4299db11e2a",Article,"Final",Open Access,Scopus,2-s2.0-85066779768
"Bahabry, A., Wan, X., Ghazzai, H., Menouar, H., Vesonder, G., Massoud, Y.","56764682700;57209880695;55479977600;24470539100;6507687388;14018366500;","Low-Altitude Navigation for Multi-Rotor Drones in Urban Areas",2019,"IEEE Access","7",, 8747351,"87716","87731",,1,"10.1109/ACCESS.2019.2925531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069796230&doi=10.1109%2fACCESS.2019.2925531&partnerID=40&md5=cfbc144af083108b5bd383320fc466f1",Article,"Final",Open Access,Scopus,2-s2.0-85069796230
"Ye, N., Wang, B., Kita, M., Xie, M., Cai, W., Kita, M.","57212035926;57211168115;57212031594;57212035702;57212032838;57212031598;","Urban Commerce Distribution Analysis Based on Street View and Deep Learning",2019,"IEEE Access","7",, 8890683,"162841","162849",,,"10.1109/ACCESS.2019.2951294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075789512&doi=10.1109%2fACCESS.2019.2951294&partnerID=40&md5=985ff3d5535a3595749781cf3eac837f",Article,"Final",Open Access,Scopus,2-s2.0-85075789512
"Jalasri, M., Nalini, S., Kumar, N.M., Elumalai, J.","57210108881;57211289556;57211929559;57211289033;","Data storage in the fog computing for smart environment monitoring system (SEMS)",2019,"Journal of Computational and Theoretical Nanoscience","16","8",,"3196","3200",,,"10.1166/jctn.2019.8160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073331968&doi=10.1166%2fjctn.2019.8160&partnerID=40&md5=86cc6386a4b0e21b00d33042f9e30f53",Article,"Final",,Scopus,2-s2.0-85073331968
"Bartosh, A., Clark, L.","57190812807;57210750478;","Mixed Reality Visualizations of Urban Data",2019,"Technology Architecture and Design","3","1",,"89","101",,,"10.1080/24751448.2019.1571832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071384669&doi=10.1080%2f24751448.2019.1571832&partnerID=40&md5=308bd80971123a5c72ba7a55bd6102c3",Article,"Final",,Scopus,2-s2.0-85071384669
"Grzechca, D., Paszek, K.","22940672800;57196010820;","Short-term positioning accuracy based on mems sensors for smart city solutions",2019,"Metrology and Measurement Systems","26","1",,"95","107",,,"10.24425/mms.2019.126325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071027233&doi=10.24425%2fmms.2019.126325&partnerID=40&md5=03bfb397482e36b2bb6185a664b679dc",Article,"Final",,Scopus,2-s2.0-85071027233
"Preciado, J.C., Prieto, A.E., Benitez, R., Rodríguez-Echeverría, R., Conejero, J.M.","14625737900;25123067600;9841402100;35100947600;23476342600;","A High-Frequency Data-Driven Machine Learning Approach for Demand Forecasting in Smart Cities",2019,"Scientific Programming","2019",, 8319549,"","",,1,"10.1155/2019/8319549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067806857&doi=10.1155%2f2019%2f8319549&partnerID=40&md5=2171ed76232aedde075e05421846b336",Article,"Final",Open Access,Scopus,2-s2.0-85067806857
"Iványi, T., Bíró-Szigeti, S.","57207778357;36615117100;","Smart City: Studying smartphone application functions with city marketing goals based on consumer behavior of generation Z in Hungary",2019,"Periodica Polytechnica Social and Management Sciences","27","1",,"48","58",,,"10.3311/PPso.12451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062842675&doi=10.3311%2fPPso.12451&partnerID=40&md5=8a7d7418f4a3107e035f444a65b0a4f1",Article,"Final",Open Access,Scopus,2-s2.0-85062842675
"Sato, M., Fukuyama, Y., Iizaka, T., Matsui, T.","57192554144;7201926115;6507738439;7403576837;","Optimal planning of smart community considering uncertainty of renewable energies - Proposal and an application of multi-population global-best brain storm optimization with differential evolution strategies",2019,"IEEJ Transactions on Power and Energy","139","4",,"240","250",,1,"10.1541/ieejpes.139.240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063754650&doi=10.1541%2fieejpes.139.240&partnerID=40&md5=c5dd7f95042bd3ad9e6fd59f86919535",Article,"Final",,Scopus,2-s2.0-85063754650
"Ullah, I., Fayaz, M., Kim, D.","26666362900;57188873234;44361167000;","Risk assessment based on hierarchical fuzzy inference and prediction using kalman filter for underground facilities in smart cities",2019,"International Journal of Innovative Technology and Exploring Engineering","8","3C",,"239","244",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064661248&partnerID=40&md5=144955958f61ceed6e92d136a5f01415",Article,"Final",,Scopus,2-s2.0-85064661248
"Sivakumar, P., Nagaraju, R., Samanta, D., Sivaram, M., Hindia, M.N., Amiri, I.S.","57191604313;57209642071;15124952700;55220262500;56398523300;15727199700;","A novel free space communication system using nonlinear InGaAsP microsystem resonators for enabling power-control toward smart cities",2019,"Wireless Networks",,,,"","",,1,"10.1007/s11276-019-02075-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068323115&doi=10.1007%2fs11276-019-02075-7&partnerID=40&md5=ca2b2f6ea0abbd030a0ca89a2955ca53",Article,"Article in Press",,Scopus,2-s2.0-85068323115
